stock_code,stock_name,stock_time,current_price,open,high,low,volume,prev_close
A315270,TIGER 200커뮤니,1600,25400,25630,25630,25245,568,25425
A315480,KBSTAR 200커뮤니,1600,15825,15915,15930,15665,288,15790
A315930,KODEX Top5PlusTR,1600,13890,13860,13935,13805,91063,13800
A315960,KBSTAR 대형고배,1600,11675,11690,11725,11670,1220,11575
A316140,우리금융지주,1600,8580,8500,8580,8490,1555221,8430
A316300,KINDEX 싱가포르,1600,11690,11850,11850,11685,985,11690
A316670,KOSEF 코스닥150,1600,6595,6605,6605,6515,214,6500
A317400,자이에스앤디,1600,8100,8130,8260,7990,141430,7980
A319640,TIGER 골드선물(H,1600,13825,13840,13870,13800,12772,13660
A319870,KBSTAR KRX300미,1600,12005,11995,12005,11940,10,11930
A321410,KODEX 멀티에셋하,1600,9920,9865,9920,9830,1068,9815
A322000,현대에너지솔루션,1600,32000,32500,32850,31750,198878,32200
A322120,KINDEX 스마트퀄,1600,14570,14565,14570,14525,27,14460
A322130,KINDEX 스마트로,1600,13000,12985,13000,12970,26,12910
A322150,KINDEX 스마트하,1600,10695,10685,10695,10660,21,10585
A322400,HANARO e커머스,1600,13945,14030,14030,13855,56707,13915
A322410,HANARO 고배당,1600,7670,7660,7685,7615,6204,7595
A325010,KODEX Fn성장,1600,13975,13990,14010,13915,93233,13880
A325020,KODEX 배당가치,1600,9720,9725,9740,9685,26947,9625
A326030,SK바이오팜,1559,156500,156500,158000,155000,164117,155000
A326230,KBSTAR 내수주플,1600,9435,9450,9450,9410,6299,9365
A326240,KBSTAR IT플러스,1600,15900,16065,16065,15865,73002,15825
A328370,ARIRANG 코스피TR,1600,11470,11435,11470,11395,4911,11330
A329200,TIGER 부동산인프,1600,4555,4530,4555,4530,63065,4505
A329650,KODEX TRF3070,1600,10640,10600,10650,10590,7176,10600
A329660,KODEX TRF5050,1600,10875,10785,10875,10775,1953,10835
A329670,KODEX TRF7030,1600,11035,11035,11050,10960,2688,10995
A329750,TIGER 미국달러단,1600,10030,10015,10035,10010,14279,10060
A330590,롯데리츠,1600,5180,5110,5190,5110,158453,5110
A331910,KOSEF Fn중소형,1600,17400,17315,17400,17275,147,17175
A332500,KINDEX 200TR,1600,18550,18550,18610,18470,10871,18395
A332610,ARIRANG 미국단기,1600,98995,98995,99185,98915,177,99015
A332620,ARIRANG 미국장기,1600,105020,104675,105020,104675,1200,105050
A332930,HANARO 200TR,1600,36195,36465,36465,36055,3570,35875
A332940,HANARO MSCI Kore,1600,12430,12455,12485,12405,602,12340
A333940,ARIRANG KS로우볼,1600,10475,10485,10515,10430,1721,10390
A333950,ARIRANG KS로우사,1600,12260,12260,12270,12170,970,12140
A333960,ARIRANG KS모멘텀,1600,12430,12460,12460,12350,970,12305
A333970,ARIRANG KS밸류가,1600,11220,11210,11245,11160,970,11095
A333980,ARIRANG KS퀄리티,1600,12145,12155,12185,12100,981,12035
A334690,KBSTAR 팔라듐선,1600,13420,13405,13490,13395,2573,13155
A334700,KBSTAR 팔라듐선,1600,5540,5540,5540,5465,2012,5640
A334890,이지스밸류리츠,1600,4570,4575,4585,4550,36686,4560
A336160,KBSTAR 금융채액,1600,102925,102910,102970,102910,12,102900
A336260,두산퓨얼셀,1559,43100,41650,45950,41600,2535114,40500
A33626K,두산퓨얼셀1우,1600,18950,18200,21500,17850,992515,17550
A33626L,두산퓨얼셀2우B,1600,26500,24050,29650,24050,661210,24000
A336370,두산솔루스,1600,39500,39850,40050,39000,140910,39350
A33637K,두산솔루스1우,1600,17300,17500,18600,17050,114462,17250
A33637L,두산솔루스2우B,1557,35500,34800,38250,34800,38647,34600
A337120,KODEX Fn멀티팩터,1600,10890,10930,10930,10825,110,10800
A337140,KODEX 코스피대형,1600,10945,10975,10975,10885,17135,10855
A337150,KODEX 200exTOP,1600,10710,10685,10710,10685,2800,10580
A337160,KODEX 200ESG,1600,10605,10625,10675,10590,112,10545
A338100,NH프라임리츠,1600,4285,4255,4285,4255,19930,4250
A341850,TIGER KIS부동산,1600,5195,5205,5205,5180,1071,5195
A342140,KINDEX 모닝스타,1600,10115,10220,10220,10115,11,10220
A342500,KBSTAR KRX국채선,1600,50795,50780,50795,50780,11,50785
A342600,KBSTAR KRX국채선,1600,51245,51230,51255,51225,11,51225
A342610,KBSTAR KRX국채선,1600,49930,49940,49940,49925,11,49940
A342620,KBSTAR KRX국채선,1600,49525,49550,49550,49500,11,49550
A344820,케이씨씨글라스,1600,29000,29000,29300,28900,33861,29000
A346000,HANARO KAP초장기,1600,50860,50830,50960,50790,567,50870
A348950,제이알글로벌리츠,1600,4990,4930,4990,4930,113923,4945
A350520,이지스레지던스리,1600,4705,4700,4710,4670,82882,4690
A352540,KODEX TSE일본리,1600,10640,10690,10695,10640,167,10640
A352560,KODEX 다우존스미,1600,10760,10720,10760,10720,744,10545
A353200,대덕전자,1600,10650,10800,10950,10600,400495,10700
A35320K,대덕전자1우,1600,7280,7300,7390,7220,14496,7250
A354240,KBSTAR 미국고정,1600,10180,10175,10200,10175,227,10155
A354350,HANARO 글로벌럭,1600,12650,12505,12655,12505,20618,12430
A354500,KINDEX 코스닥150,1600,13155,13140,13165,13010,642,13000
A356540,KINDEX KIS종합채,1600,100450,100570,100570,100450,323,100380
A357120,코람코에너지리츠,1600,4735,4725,4740,4715,68078,4715
A357250,미래에셋맵스리츠,1600,4760,4745,4760,4710,48864,4750
A357870,TIGER CD금리투자,1600,50090,50090,50090,50090,100,50095
A359210,KODEX 코스피TR,1600,10585,10605,10610,10555,5654,10495
A360140,KODEX 200롱코스,1600,9795,9850,9850,9795,2351,9855
A360150,KODEX 코스닥150,1600,10180,10105,10180,10105,11,10120
A360200,KINDEX 미국S&P50,1600,10030,10065,10070,10010,91748,9945
A360750,TIGER 미국S&P500,1600,9915,9955,9955,9895,245763,9830
A361580,KBSTAR 200TR,1600,15595,15560,15595,15510,5410,15425
A361590,KBSTAR 코스피ex2,1600,10060,10080,10080,10000,105,9970
A363280,티와이홀딩스,1600,24450,23200,24500,22350,803223,22950
A36328K,티와이홀딩스우,1600,35800,36350,36800,33700,175348,35700
A363510,SMART KIS단기통,1600,100025,100025,100025,100025,5,100015
A363570,KODEX 장기종합채,1600,100340,100340,100340,100340,1,100320
A363580,KODEX 200IT TR,1600,9830,9875,9905,9830,3035,9725
A364690,KODEX 혁신기술테,1600,10005,10035,10050,9965,625809,0
A365040,TIGER AI코리아그,1600,10085,10125,10125,10045,245683,0
A900140,엘브이엠씨홀딩스,1600,3530,3555,3630,3450,220652,3560
Q500001,신한 K200 USD 선,1600,10520,0,0,0,0,10410
Q500002,신한 USD K200 선,1600,6840,0,0,0,0,6920
Q500003,신한 인버스 WTI,1600,10325,10285,10325,10220,447,10385
Q500004,신한 브렌트원유,1600,5020,5075,5080,5020,270,4985
Q500005,신한 인버스 브렌,1600,8895,8855,8895,8845,11,9000
Q500006,신한 인버스 금,1600,6445,6430,6445,6420,6608,6520
Q500007,신한 인버스 은,1600,5440,5390,5440,5365,6259,5670
Q500008,신한 인버스 구리,1600,8520,8470,8520,8470,76,8490
Q500009,신한 다우존스지,1600,16490,16460,16490,16460,280,16300
Q500010,신한 인버스 다우,1600,5145,5155,5155,5120,542,5200
Q500011,신한 달러인덱스,1600,10535,10520,10535,10520,708,10570
Q500012,신한 인버스 달러,1600,9550,0,0,0,0,9530
Q500013,신한 옥수수 선물,1600,5600,5610,5630,5600,2977,5595
Q500014,신한 인버스 옥수,1600,15235,15135,15235,15135,68,15255
Q500015,신한 WTI원유 선,1600,2895,2930,2930,2895,10057,2880
Q500016,신한 금 선물 ETN,1600,14605,14625,14645,14590,927,14430
Q500017,신한 은 선물 ETN,1600,13185,13320,13360,13150,1904,12635
Q500018,신한 구리 선물 E,1600,13175,13225,13225,13175,13,13215
Q500019,신한 레버리지 WT,1559,285,285,290,280,9073038,280
Q500020,신한 레버리지 다,1600,22440,22450,22555,22405,8168,22050
Q500021,신한 천연가스 선,1600,3220,3240,3250,3210,9921,3255
Q500022,신한 인버스 천연,1600,14820,14650,14830,14650,372,14645
Q500023,신한 콩 선물 ETN,1600,7910,7900,7920,7900,1112,7945
Q500024,신한 인버스 콩,1600,11955,11945,11955,11925,95,11810
Q500027,신한 인버스 2X W,1600,2190,2175,2200,2155,99903,2225
Q500028,신한 인버스 2X,1600,3750,3740,3760,3740,31986,3835
Q500029,신한 레버리지 은,1600,10960,11110,11200,10765,243788,10125
Q500030,신한 인버스 2X,1600,3400,3330,3445,3310,184774,3675
Q500031,신한 레버리지 천,1600,2385,2450,2450,2385,353659,2450
Q500032,신한 인버스 2X,1600,6475,6325,6475,6310,172992,6315
Q500035,신한 레버리지 미,1600,11680,11690,11690,11680,32,11775
Q500036,신한 인버스 2X,1600,7625,7625,7625,7625,300,7580
Q500037,신한 레버리지 금,1600,19195,19155,19300,19130,8709,18770
Q500038,신한 인버스 2X,1600,5085,5070,5095,5035,5311,5230
Q500039,신한 코스피 콘도,1600,8420,0,0,0,0,8340
Q500040,신한 레버리지 구,1600,11175,11270,11295,11150,347,11290
Q500041,신한 인버스 2X,1600,7200,7115,7205,7100,5279,7145
Q500042,신한 코스피 콘도,1600,9215,9215,9220,9210,4,9195
Q500043,신한 코스피 콘도,1600,8855,0,0,0,0,8805
Q500044,신한 코스피 콘도,1600,9490,0,0,0,0,9465
Q500045,신한 S&P500 VIX,1600,19645,19535,19645,19525,37794,19580
Q500046,신한 코스피 월별,1600,9025,9030,9030,9025,2,8995
Q500047,신한 코스피 월별,1600,9215,0,0,0,0,9190
Q500048,신한 코스피 월별,1600,9015,0,0,0,0,8980
Q500049,신한 코스피 월별,1600,9255,0,0,0,0,9240
Q500050,신한 레버리지 S&,1600,11395,11420,11475,11395,841,11170
Q500051,신한 인버스 2X S,1600,5540,5520,5555,5510,10070,5710
Q500052,신한 FnGuide 5G,1600,14700,15250,15250,14470,15232,14530
Q500053,신한 레버리지 천,1600,7995,8140,8145,7935,75667,8220
Q500054,신한 인버스 2X,1600,9470,9240,9480,9240,34778,9245
Q510001,대신 WTI원유 선,1600,3975,3985,4000,3975,1456,3960
Q510002,대신 아연선물 ET,1600,9565,9565,9565,9565,2,9335
Q510003,대신 니켈선물 ET,1600,13740,13740,13755,13660,866,13655
Q510004,대신 인버스 아연,1600,10415,10400,10415,10400,11,10705
Q510005,대신 2X 아연선물,1600,6020,5990,6020,5945,1438,5765
Q510006,대신 인버스 니켈,1600,6655,6650,6655,6650,13,6740
Q510007,대신 2X 니켈선물,1600,11910,11950,12250,11840,25908,11890
Q510008,대신 철광석 선물,1600,28445,28390,28445,28345,14,28250
Q510009,대신 인버스 철광,1600,2675,2695,2705,2670,8087,2705
Q510010,대신 인버스 2X,1600,7710,7695,7790,7680,4957,7790
Q510011,대신 골드 커버드,1600,13265,13265,13265,13265,15,13095
Q520003,미래에셋 원자재,1600,7870,7850,7875,7850,601,7810
Q520004,미래에셋 전기전,1600,22560,0,0,0,0,22270
Q520005,미래에셋 인버스,1600,3600,3620,3620,3575,1967,3640
Q520006,미래에셋 에너지,1600,11665,0,0,0,0,11500
Q520007,미래에셋 인버스,1600,6495,6495,6495,6495,10,6595
Q520009,미래에셋 레버리,1600,1955,1970,1980,1940,1497786,1910
Q520010,미래에셋 원유선,1600,11280,11325,11355,11260,1268,11140
Q520011,미래에셋 인버스,1600,14405,14320,14415,14320,76,14600
Q520012,미래에셋 호주 AS,1600,12090,12090,12090,12090,1,12090
Q520013,미래에셋 Q150 Co,1600,10230,0,0,0,0,10100
Q520014,미래에셋 미디어,1600,15790,15790,15790,15790,2,15865
Q520015,미래에셋 인버스,1600,10510,10375,10510,10375,18,10425
Q520020,미래에셋 미국 시,1600,10755,0,0,0,0,10745
Q520021,미래에셋 미국 시,1600,11245,0,0,0,0,11245
Q520026,미래에셋 코스피,1600,8735,8735,8735,8735,10000,8710
Q530002,삼성 인버스 Chin,1600,9795,9750,9825,9750,8440,9805
Q530003,삼성 모멘텀 탑픽,1600,5450,5395,5450,5395,32,5450
Q530004,삼성 화장품 테마,1600,4400,4410,4425,4375,63,4320
Q530005,삼성 바이오 테마,1600,15575,15680,15690,15480,208,15530
Q530006,삼성 음식료 테마,1600,6630,6660,6660,6585,273,6590
Q530007,삼성 레저 테마주,1600,4275,4275,4275,4275,1,4220
Q530008,삼성 미디어 테마,1600,7040,7040,7040,7040,263,7020
Q530009,삼성 증권 테마주,1600,8385,0,0,0,0,8285
Q530010,삼성 건축자재 테,1600,3230,0,0,0,0,3195
Q530011,삼성 온라인쇼핑,1600,7895,0,0,0,0,7805
Q530012,삼성 화학 테마주,1600,17840,0,0,0,0,17200
Q530013,삼성 KTOP30 ETN,1600,13680,13680,13680,13680,1,13530
Q530014,삼성 China A50,1600,16805,0,0,0,0,16790
Q530015,삼성 미국 대형,1600,16910,16945,16945,16910,4593,16670
Q530016,삼성 미국 대형,1600,10025,10000,10025,10000,2008,9790
Q530017,삼성 미국 중소형,1600,12465,0,0,0,0,12145
Q530018,삼성 미국 중소형,1600,9525,9530,9530,9525,2,9220
Q530019,삼성 미국 대형,1600,17255,17255,17255,17255,33,16980
Q530020,삼성 미국 대형,1600,10125,0,0,0,0,9915
Q530021,삼성 미국 중소형,1600,12655,0,0,0,0,12370
Q530022,삼성 미국 중소형,1600,9665,0,0,0,0,9390
Q530023,삼성 레버리지 Ch,1600,47295,47915,47915,47295,2318,47405
Q530031,삼성 레버리지 WT,1559,350,350,355,345,4495176,345
Q530032,삼성 Cushing 에,1600,5050,5060,5060,5050,703,4935
Q530033,삼성 Alerian 에,1600,4530,4505,4530,4505,425,4420
Q530036,삼성 인버스 2X W,1600,2150,2130,2160,2115,1030907,2205
Q530037,삼성 레버리지 천,1600,2500,2565,2565,2490,175846,2575
Q530038,삼성 인버스 2X,1600,13530,13240,13565,13190,27580,13225
Q530053,삼성 코스피 풋매,1600,10010,0,0,0,0,9980
Q530055,삼성 레버리지 금,1600,35120,35230,35265,34950,2958,34265
Q530056,삼성 인버스 2X,1600,9330,9300,9335,9225,3199,9570
Q530060,삼성 코스피 양매,1600,8725,0,0,0,0,8700
Q530061,삼성 레버리지 은,1600,18155,18460,18600,17930,99715,16810
Q530062,삼성 인버스 2X,1600,2350,2280,2375,2265,621627,2525
Q530063,삼성 레버리지 구,1600,10165,10270,10275,10120,7165,10260
Q530064,삼성 인버스 2X,1600,7490,7420,7495,7365,2059,7390
Q530065,삼성 S&P500 VIX,1600,19085,19010,19085,18960,22921,18895
Q530066,삼성 코스피 풋매,1600,9900,0,0,0,0,9870
Q530067,삼성 KRX 금현물,1600,12595,12615,12655,12545,4855,12490
Q530068,삼성 레버리지 천,1600,14355,14685,14685,14305,300281,14765
Q530069,삼성 인버스 2X,1600,24590,24180,24600,24090,16997,24045
Q550001,QV Big Vol ETN,1600,11715,11715,11715,11715,5,11625
Q550002,QV WISE 배당 ETN,1600,8545,0,0,0,0,8470
Q550004,QV 롱숏 K150 매,1600,10720,0,0,0,0,10605
Q550005,QV 에너지 TOP5 E,1600,7660,0,0,0,0,7570
Q550006,QV 내수소비 TOP5,1600,6815,0,0,0,0,6815
Q550007,QV 조선 TOP5 ETN,1600,8585,9200,9200,8395,3276,8400
Q550008,QV 소프트웨어 TO,1600,22840,22950,22950,22755,56,22845
Q550009,QV 하드웨어 TOP5,1600,21545,0,0,0,0,21235
Q550010,QV 운송 TOP5 ETN,1600,7505,0,0,0,0,7380
Q550011,QV 자동차 TOP5 E,1600,11795,11765,11795,11740,15,11595
Q550012,QV 의료 TOP5 ETN,1600,13820,13885,13885,13745,102,13550
Q550013,QV 화학 TOP5 ETN,1600,13940,0,0,0,0,13510
Q550014,QV 바이오 TOP5 E,1600,18050,18065,18065,17880,288,18010
Q550015,QV 제약 TOP5 ETN,1600,6250,6205,6250,6205,69,6105
Q550016,QV 건설 TOP5 ETN,1600,5815,5815,5815,5815,1,5755
Q550018,QV CHINEXT ETN(H,1600,8590,8575,8590,8575,200,8575
Q550026,QV KTOP30 ETN,1600,13565,0,0,0,0,13450
Q550033,QV 스마트리밸런,1600,10460,0,0,0,0,10540
Q550041,QV 미국 IT TOP5,1600,23120,23110,23160,23090,5108,22750
Q550042,QV 레버리지 WTI,1600,280,280,285,275,123625,275
Q550043,QV 인버스 레버리,1600,2000,1980,2005,1970,3693,2035
Q550044,QV 레버리지 S&P5,1600,15315,15225,15315,15225,18,14965
Q550045,QV 인버스 레버리,1600,3725,3730,3750,3725,1399,3845
Q550046,QV 레버리지 10년,1600,25265,0,0,0,0,25300
Q550047,QV 인버스 레버리,1600,16360,0,0,0,0,16360
Q550052,QV MSCI 선진국 E,1600,10355,0,0,0,0,10240
Q550053,QV 인버스 MSCI,1600,9975,0,0,0,0,10150
Q550054,QV 레버리지 MSCI,1600,9350,9310,9350,9310,10851,9100
Q550055,QV 인버스 레버리,1600,8690,8730,8730,8690,665,9045
Q550056,QV 코스피 양매도,1600,8700,0,0,0,0,8675
Q550057,QV 코스피 변동성,1600,8330,0,0,0,0,8300
Q550058,QV S&P500 VIX S/,1600,19630,19505,19630,19505,316,19485
Q570003,TRUE 빅5 동일가,1600,14565,0,0,0,0,14440
Q570008,TRUE 섹터탑픽 ET,1600,8770,0,0,0,0,8655
Q570009,TRUE 코리아프리,1600,11300,0,0,0,0,11150
Q570019,TRUE 코스피 양매,1600,9105,9110,9115,9100,22213,9080
Q570020,TRUE 코스피 커버,1600,9520,0,0,0,0,9420
Q570021,TRUE 코스피 커버,1600,9275,0,0,0,0,9325
Q570022,TRUE 레버리지 S&,1600,15020,15055,15100,15020,1777,14675
Q570023,TRUE 인버스 2X S,1600,3805,3795,3805,3785,30576,3900
Q570024,TRUE 코스피 타겟,1600,9105,0,0,0,0,9050
Q570025,TRUE 인버스 유로,1600,8020,8015,8020,8015,50,8135
Q570026,TRUE 레버리지 유,1600,9425,9545,9545,9425,8280,9190
Q570027,TRUE 인버스 2X,1600,5870,5785,5870,5785,22332,6030
Q570028,TRUE 인버스 HSCE,1600,10855,10745,10865,10745,48,10805
Q570029,TRUE 코스피 양매,1600,8400,0,0,0,0,8360
Q570030,TRUE 코스피 양매,1600,8540,0,0,0,0,8485
Q570031,TRUE 레버리지 HS,1600,8130,8260,8260,8125,6561,8280
Q570032,TRUE 인버스 2X H,1600,8645,8460,8645,8460,264,8575
Q570034,TRUE 엔선물 ETN,1600,10540,0,0,0,0,10600
Q570035,TRUE 레버리지 엔,1600,10740,10750,10750,10740,37,10860
Q570036,TRUE 인버스 엔선,1600,9320,0,0,0,0,9270
Q570037,TRUE 유로선물 ET,1600,10440,0,0,0,0,10440
Q570038,TRUE 인버스 유로,1600,9470,9470,9470,9470,145,9470
Q570042,TRUE 인버스 나스,1600,6040,6075,6075,6010,16746,6155
Q570043,TRUE 레버리지 나,1600,17720,17665,17830,17660,113673,17215
Q570044,TRUE 인버스 2X,1600,3230,3230,3240,3200,738961,3345
Q570045,TRUE 레버리지 천,1600,7530,7660,7680,7500,71441,7720
Q570046,TRUE 인버스 2X,1600,19590,19205,19645,19205,19757,19130
Q570047,TRUE FTSE100 ETN,1600,10445,0,0,0,0,10355
Q570048,TRUE 유로스탁스5,1600,9550,0,0,0,0,9515
Q570049,TRUE S&P500 양매,1600,10115,10115,10115,10115,3,10090
Q570050,TRUE S&P500 선물,1600,9865,9850,9865,9850,3,9770
Q570051,TRUE 나스닥 100,1600,10130,10130,10130,10130,2,9970
Q580006,KB KTOP30 ETN,1600,12945,0,0,0,0,12835
Q580007,KB KQ 우량주30 E,1600,13325,0,0,0,0,12815
Q580008,KB 코스피 양매도,1600,8550,8550,8550,8550,1,8525
Q580009,KB 코스피 마운틴,1600,8675,0,0,0,0,8660
Q580010,KB Wise 분할매매,1600,11115,11115,11115,11115,7,11095
Q580011,KB FnGuide 언택,1600,9575,9590,9595,9520,484,9435
Q580012,KB KRX300 ETN,1600,9760,9770,9770,9725,76,9675
Q590003,미래에셋 유럽 대,1600,11495,0,0,0,0,11340
Q590004,미래에셋 유럽 중,1600,12220,0,0,0,0,12010
Q590005,미래에셋 일본 대,1600,13835,13750,13835,13750,12,13750
Q590006,미래에셋 일본 중,1600,12550,0,0,0,0,12405
Q590007,미래에셋 미국 대,1600,17525,0,0,0,0,17230
Q590008,미래에셋 미국 중,1600,15030,0,0,0,0,14745
Q590009,미래에셋 미국 항,1600,16120,16120,16120,16120,38,15665
Q590010,미래에셋 레버리,1600,22515,22515,22515,22420,505,21645
Q590011,미래에셋 인버스,1600,5155,4850,5170,4850,3692,5290
Q590012,미래에셋 글로벌,1600,9590,9590,9590,9590,8,9345
Q590013,미래에셋 미국 리,1600,9430,0,0,0,0,9160
